School Number,School Name,Telephone,Fax,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address 1,Postal Address 2,Postal Address 3,Postal Code,Urban Area,School Type,Definition,Authority,Gender of Students,Territorial Authority with Auckland Local Board,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Maori Electorate,Census Area Unit,Ward,Community of Learning: ID,Community of Learning: Name,Longitude,Latitude,Decile,Total School Roll,European / Pakeha,Maori,Pasifika,Asian,MELAA,Other,International
2892,Lyall Bay School,04 939 9112,04 939 9102,kathy@lyallbay.school.nz,Melanie Dean,http://www.lyallbay.school.nz,Freyberg Street,Lyall Bay,Wellington,Freyberg Street,Lyall Bay,Wellington,6022,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Rongotai,Te Tai Tonga,Lyall Bay-Airport-Moa Point,Eastern Ward,99141,Wellington East Community of Learning ,174.79315,-41.324592,7,385,164,78,34,82,27,0,0
2893,Maidstone Intermediate,04 528 3094,04 528 0420,admin@maidstone.school.nz,Mary O'Regan,http://www.maidstone.school.nz/,Redwood Street,,Upper Hutt,Redwood Street,Elderslea,Upper Hutt,5018,Main Urban Area,Intermediate,Not Applicable,State,Co-Educational,Upper Hutt City,Wellington Region,Wellington,Wellington,Rimutaka,Ikaroa-Rawhiti,Elderslea,Area Outside Ward,,,175.059626,-41.122612,6,413,230,125,26,22,9,1,0
2894,Makara Model School,04 476 9522,,office@mms.school.nz,Gail Dewar,http://mms.school.nz,399 Makara Road,Karori,Wellington,399 Makara Road,Karori,Wellington,6972,Rural Area,Full Primary,Model School,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Wellington Central,Te Tai Tonga,Makara-Ohariu,Onslow-Western Ward,,,174.704915,-41.268112,10,58,47,5,0,1,2,3,0
2895,Makuri School,06 376 3813,06 376 3812,admin@makuri.school.nz,Rosemary Thorpe,http://www.schoolground.co.nz/makuri,5 Titoki Street,,Makuri,Titoki Road RD 9,,Pahiatua,4989,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Tararua District,Manawatu-Wanganui Region,Wellington,Wellington,Wairarapa,Ikaroa-Rawhiti,Mangatainoka,South Tararua Ward,99071,Tararua Kahui Ako,176.013994,-40.532432,6,5,3,2,0,0,0,0,0
2896,Manakau School,06 362 6791,06 362 6082,office@manakau.school.nz,Deborah Logan,http://www.manakau.school.nz,Mokena Kohere Street,Manakau,Levin,Counter Delivery,Manakau Postcentre,Manakau,5541,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Horowhenua District,Manawatu-Wanganui Region,Wellington,Wellington,Otaki,Te Tai Hauauru,Mangaore-Manakau,Waiopehu Ward,99058,Taitoko Kahui Ako,175.217884,-40.713712,6,106,77,24,2,3,0,0,0
2899,Mangaroa School,04 526 7948,04 526 5147,office@mangaroa.school.nz,Lisa Malones,http://www.mangaroa.school.nz,Flux Road,,Upper Hutt,Flux Road RD 1,,Upper Hutt,5371,Rural Area,Contributing,Not Applicable,State,Co-Educational,Upper Hutt City,Wellington Region,Wellington,Wellington,Rimutaka,Ikaroa-Rawhiti,Mangaroa,Area Outside Ward,,,175.116071,-41.123065,10,114,98,6,1,7,1,1,0
2900,Mangatainoka School,06 376 8991,,office@mangatainoka.school.nz,Jason Edwards,,2 Makuri Street,,Mangatainoka,2 Makuri Street RD 2,,Pahiatua,4982,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Tararua District,Manawatu-Wanganui Region,Wellington,Wellington,Wairarapa,Ikaroa-Rawhiti,Mangatainoka,South Tararua Ward,99071,Tararua Kahui Ako,175.862935,-40.417309,4,48,19,29,0,0,0,0,0
2902,Maoribank School,04 526 9552,04 526 8394,principal@maoribank.school.nz,Karen Wellington,http://maoribankschool.blogspot.co.nz,32 Hillside Drive,Maoribank,Upper Hutt,32 Hillside Drive,Maoribank,Upper Hutt,5018,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Upper Hutt City,Wellington Region,Wellington,Wellington,Rimutaka,Ikaroa-Rawhiti,Maoribank,Area Outside Ward,,,175.099717,-41.113502,3,79,27,44,7,0,1,0,0
2903,Maraeroa School,04 237 6707,04 237 6155,office@maraeroa.school.nz,Kathleen O'Hare,http://www.maraeroa.school.nz,47 Driver Crescent,Porirua East,Porirua,47 Driver Crescent,Cannons Creek,Porirua,5024,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Porirua City,Wellington Region,Wellington,Wellington,Mana,Te Tai Hauauru,Cannons Creek East,Eastern Ward,99074,Porirua East Community of Learning,174.872226,-41.140694,1,130,1,56,71,1,1,0,0
2904,Holy Cross School (Miramar),04 388 7189,04 388 2181,administration@hcm.school.nz,Celeste Hastings,http://www.hcm.school.nz,2 Athens Street,Miramar,Wellington,2 Athens Street,Miramar,Wellington,6022,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Rongotai,Te Tai Tonga,Miramar,Eastern Ward,99172,Wellington Catholic Community of Learning,174.82005,-41.317091,5,187,44,23,51,37,28,4,0
2906,Martinborough School,06 306 9602,06 306 9602,office@martinborough.school.nz,Craig Nelson,http://www.martinborough.school.nz,Dublin Street,,Martinborough,14-16 Dublin Street,,Martinborough,5711,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,South Wairarapa District,Wellington Region,Wellington,Wellington,Wairarapa,Ikaroa-Rawhiti,Martinborough,Martinborough Ward,99109,South Wairarapa Community of Learning,175.452717,-41.218711,8,263,172,73,7,9,1,1,0
2909,Masterton Intermediate,06 370 0088,06 370 0087,office@mis.school.nz,Russell Thompson,http://www.mis.school.nz,38 Intermediate Street,,Masterton,P O Box 628,,Masterton,5840,Secondary Urban Area,Intermediate,Not Applicable,State,Co-Educational,Masterton District,Wellington Region,Wellington,Wellington,Wairarapa,Ikaroa-Rawhiti,Solway North,Urban Ward,99204,Masterton (Whakaoriori) Kahui Ako,175.640522,-40.956936,5,515,324,145,24,12,7,3,0
2911,Mauriceville School,06 372 5800,06 372 5802,office@mauriceville.school.nz,Rebecca Stevens,,1378 Opaki Kaiparoro Road,,Mauriceville,1378 Opaki Kaiparoro Road RD 2,,Masterton,5882,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Masterton District,Wellington Region,Wellington,Wellington,Wairarapa,Ikaroa-Rawhiti,Kopuaranga,Rural Ward,99204,Masterton (Whakaoriori) Kahui Ako,175.702162,-40.775214,1,29,15,14,0,0,0,0,0
2912,Mayfield School (Blenheim),03 578 9040,03 578 9040,admin@mayfield.school.nz,David Nott,,79 Hutcheson Street,Mayfield,Blenheim,79 Hutcheson Street,Mayfield,Blenheim,7201,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Marlborough District,Marlborough Region,Nelson,Nelson/Marlborough/West Coast,Kaikoura,Te Tai Tonga,Mayfield,Blenheim Ward,99006,Piritahi (2BCoS) Community of Learning,173.95493,-41.499975,2,117,45,53,13,3,3,0,0
2915,Miramar Central School,04 939 0684,04 939 0685,office@miramarcentral.school.nz,Edward Trotter,http://www.miramarcentral.school.nz,Park Road,Miramar,Wellington,P O Box 15048,Miramar,Wellington,6243,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Rongotai,Te Tai Tonga,Miramar,Eastern Ward,99141,Wellington East Community of Learning ,174.818704,-41.314335,5,236,79,34,20,75,26,2,0
2916,Miramar North School,04 388 6657,04 388 6656,reception@mns.school.nz,Joyce Adam,http://www.mns.school.nz,Weka Street,Miramar,Wellington,23 Weka Street,Miramar,Wellington,6022,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Rongotai,Te Tai Tonga,Miramar North,Eastern Ward,99141,Wellington East Community of Learning ,174.824236,-41.303907,7,243,149,28,22,37,5,2,0
2918,Mt Cook School (Wellington),04 385 9432,04 385 9933,,Sandra McCallum,http://www.mtcook.school.nz,160 Tory Street,,Wellington,160 Tory Street,Te Aro,Wellington,6011,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Wellington Central,Te Tai Tonga,Willis Street-Cambridge Terrace,Lambton Ward,,,174.778692,-41.297617,6,255,79,32,14,97,29,4,0
2920,Muritai School,04 562 8409,04 562 7704,principal@muritai.school.nz,Bec Power,http://www.muritai.school.nz,Muritai Road,Eastbourne,Lower Hutt,Muritai Road,Eastbourne,Lower Hutt,5013,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Lower Hutt City,Wellington Region,Wellington,Wellington,Hutt South,Te Tai Tonga,Eastbourne,Harbour Ward,,,174.89712,-41.291865,10,411,381,9,2,11,4,2,2
2921,Naenae Intermediate,04 939 8216,04 939 3533,staff@naenaeint.school.nz,Ariana Tyson,http://www.naenaeint.school.nz,Walters Street,Naenae,Lower Hutt,Walters Street,Avalon,Lower Hutt,5011,Main Urban Area,Intermediate,Not Applicable,State,Co-Educational,Lower Hutt City,Wellington Region,Wellington,Wellington,Rimutaka,Ikaroa-Rawhiti,Avalon East,Central Ward,99065,Naenae Community of Learning ,174.944649,-41.196865,3,322,107,109,74,19,10,3,0
2922,Naenae School,04 567 8117,04 567 8771,principal@naenae-primary.school.nz,Murray Bootten,http://www.schoolground.co.nz/naenaeprim,Wheatley Street,Naenae,Lower Hutt,Wheatley Street,Naenae,Lower Hutt,5011,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Lower Hutt City,Wellington Region,Wellington,Wellington,Rimutaka,Ikaroa-Rawhiti,Naenae South,Eastern Ward,99065,Naenae Community of Learning ,174.946045,-41.204173,1,230,16,149,50,2,12,1,0
2923,Natone Park School,04 235 8248,04 235 8250,office@natone.school.nz,Ihipera Whakataka,http://www.natone.school.nz,6 Kokiri Crescent,Waitangirua,Porirua,6 Kokiri Crescent,Waitangirua,Porirua,5024,Main Urban Area,Contributing,Bilingual Year 7 and Year 8 School,State,Co-Educational,Porirua City,Wellington Region,Wellington,Wellington,Mana,Te Tai Hauauru,Waitangirua,Eastern Ward,99074,Porirua East Community of Learning,174.879629,-41.130765,1,105,2,63,35,0,4,1,0
2924,Newlands Intermediate,04 478 8195,04 478 4812,office@newlandsint.school.nz,Angela Lowe,http://www.newlandsint.school.nz,Bracken Road,Newlands,Wellington,Bracken Road,Newlands,Wellington,6037,Main Urban Area,Intermediate,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Ohariu,Te Tai Tonga,Paparangi,Northern Ward,99205,Newlands Community of Learning,174.824028,-41.219122,9,465,201,86,31,115,21,4,7
2925,Newlands School,04 461 6900,04 461 6902,admin@newlandsprimary.school.nz,Robyn Arthur,http://www.newlands.ultranet.school.nz,200 Newlands Road,Newlands,Wellington,P O Box 26068,Newlands,Wellington,6442,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Ohariu,Te Tai Tonga,Newlands South,Northern Ward,99205,Newlands Community of Learning,174.820917,-41.224717,8,323,124,36,38,109,16,0,0
2926,Newtown School,04 389 6667,04 939 9511,,Mark Brown,http://www.newtown.school.nz,Mein Street,Newtown,Wellington,Mein Street,Newtown,Wellington,6021,Main Urban Area,Contributing,Bilingual Year 7 and Year 8 School,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Rongotai,Te Tai Tonga,Newtown East,Southern Ward,99171,Capital City Community of Learning,174.779603,-41.311015,5,365,127,59,57,57,32,33,0
2927,Ngaio School,04 939 6455,,info@ngaio.school.nz,Raewyn Watson,http://www.ngaio.school.nz,45 Abbott Street,Ngaio,Wellington,45 Abbott Street,Ngaio,Wellington,6035,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Ohariu,Te Tai Tonga,Ngaio South,Onslow-Western Ward,99139,Northern Suburbs Community of Learning,174.776172,-41.249281,10,494,432,21,4,25,9,3,0
2928,Ngati Toa School,04 236 7785,04 236 6602,office@ngatitoa.school.nz,Kaye Brunton,http://www.ngatitoa.school.nz/,Piko Street,Titahi Bay,Porirua,Piko Street,Titahi Bay,Porirua,5022,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Porirua City,Wellington Region,Wellington,Wellington,Mana,Te Tai Hauauru,Titahi Bay South,Western Ward,99094,Te Puna Matauranga Kahui Ako,174.835256,-41.117481,3,148,11,113,18,4,0,2,0
2930,Normandale School,04 566 2010,04 566 2011,admin@normandale.school.nz,Anne-Marie Gordon,http://www.normandale.school.nz,Martin Grove,Normandale,Lower Hutt,Martin Grove,Normandale,Lower Hutt,5010,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Lower Hutt City,Wellington Region,Wellington,Wellington,Hutt South,Ikaroa-Rawhiti,Normandale,Western Ward,,,174.886189,-41.202413,10,191,145,14,8,18,6,0,0
2931,Northland School,04 475 7596,04 475 7566,office@northland.school.nz,Jeremy Edwards,http://www.northland.school.nz,14 Harbour View Road,Northland,Wellington,14 Harbour View Road,Northland,Wellington,6012,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Wellington Central,Te Tai Tonga,Northland,Onslow-Western Ward,99213,Wellington West Community of Learning,174.760123,-41.280653,10,329,277,19,5,22,5,1,0
2933,Ohau School,06 368 7949,06 368 1713,office@ohau.school.nz,Kathryn Trevena-Brown,http://www.ohauschool.org,Muhunoa East Road,Ohau,Levin,13 Muhunoa East Road RD 20,,Levin,5570,Secondary Urban Area,Full Primary,Not Applicable,State,Co-Educational,Horowhenua District,Manawatu-Wanganui Region,Wellington,Wellington,Otaki,Te Tai Hauauru,Waiopehu,Waiopehu Ward,99058,Taitoko Kahui Ako,175.251628,-40.662132,5,176,126,38,3,8,1,0,0
2936,Opaki School,06 377 5052,06 377 5052,office@opaki.school.nz,David Finlayson,http://www.opaki.school.nz,Waipipi Road,,Masterton,Waipipi Road RD 11,,Masterton,5871,Secondary Urban Area,Full Primary,Not Applicable,State,Co-Educational,Masterton District,Wellington Region,Wellington,Wellington,Wairarapa,Ikaroa-Rawhiti,Opaki-Fernridge,Rural Ward,99204,Masterton (Whakaoriori) Kahui Ako,175.661464,-40.896098,9,185,165,13,0,4,3,0,0
2937,Opiki School,06 329 1740,06 329 1798,office@opiki.school.nz,Tracey Gurney,http://opikischool.wordpress.com/,Tane Road,Opiki,Palmerston North,Tane Road RD 4,,Palmerston North,4474,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Horowhenua District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Opiki,Miranui Ward,99166,Palmerston North City & Rural Schools Community of Learning Two,175.459999,-40.442991,6,145,114,25,3,3,0,0,0
2939,Otaki School,06 364 8704,06 364 8710,admin@otaki.school.nz,Alan Derbidge,http://www.otaki.school.nz,Mill Road,,Otaki,Mill Road,,Otaki,5512,Minor Urban Area,Contributing,Bilingual Year 7 and Year 8 School,State,Co-Educational,Kapiti Coast District,Wellington Region,Wellington,Wellington,Otaki,Te Tai Hauauru,Otaki,Otaki Ward,99140,Otaki Community of Learning,175.144198,-40.75514,4,163,11,136,12,4,0,0,0
2941,Our Lady of the Rosary School (Waiwhetu),04 566 3258,04 566 3159,admin@olr.school.nz,Karolina Surynt-Tapiki,http://www.olr.school.nz,12-16 Wainui Road,Waiwhetu,Lower Hutt,Wainui Road,Waiwhetu,Lower Hutt,5010,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Co-Educational,Lower Hutt City,Wellington Region,Wellington,Wellington,Hutt South,Te Tai Tonga,Waiwhetu South,Harbour Ward,99191,Hutt Faith Based Community of Learning,174.914634,-41.225611,5,262,120,60,32,46,4,0,0
2942,Owhiro Bay School,04 383 7189,04 383 9548,,Tineke Giddy,http://www.owhiro.school.nz,Happy Valley Road,Owhiro Bay,Wellington,Happy Valley Road,Owhiro Bay,Wellington,6023,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Rongotai,Te Tai Tonga,Happy Valley-Owhiro Bay,Southern Ward,99171,Capital City Community of Learning,174.759738,-41.337796,9,138,83,19,8,15,0,13,0
2943,Oxford Crescent School,04 528 5843,04 528 6842,office@oxfordcres.school.nz,Nathan Russell,http://www.oxfordcres.school.nz/,5 Oxford Crescent,Upper Hutt CBD,Upper Hutt,5 Oxford Crescent,Ebdentown,Upper Hutt,5018,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Upper Hutt City,Wellington Region,Wellington,Wellington,Rimutaka,Ikaroa-Rawhiti,Ebdentown,Area Outside Ward,,,175.07508,-41.118985,6,294,173,91,5,17,7,1,0
2944,Paekakariki School,04 292 8205,04 292 8729,administration@paekakariki.school.nz,Julia Bevin,http://www.paekakariki.school.nz,Wellington Road,,Paekakariki,P O Box 39,,Paekakariki,5258,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Kapiti Coast District,Wellington Region,Wellington,Wellington,Mana,Te Tai Hauauru,Paekakariki,Paekakariki-Raumati Ward,99138,Kapiti South Community of Learning,174.957503,-40.982131,7,150,108,36,3,2,0,1,0
2945,Pahiatua School,06 376 8205,06 376 8716,office@pahiatua.school.nz,Lynne Huddleston,http://www.pahiatua.school.nz,21 Albert Street,,Pahiatua,21 Albert Street,,Pahiatua,4910,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,Tararua District,Manawatu-Wanganui Region,Wellington,Wellington,Wairarapa,Ikaroa-Rawhiti,Pahiatua,South Tararua Ward,99071,Tararua Kahui Ako,175.839089,-40.451535,4,396,269,106,8,7,0,6,0
2946,Papakowhai School,04 233 8321,04 233 9403,mark@papakowhai.school.nz,Mark Smith,http://www.papakowhai.school.nz,Spey Place,Papakowhai,Porirua,Spey Place,Papakowhai,Porirua,5024,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Porirua City,Wellington Region,Wellington,Wellington,Mana,Te Tai Hauauru,Papakowhai North,Northern Ward,99068,North Porirua Community of Learning,174.867393,-41.11339,10,463,287,58,36,59,22,1,0
2947,Paparangi School,04 478 6617,,office@paparangi.school.nz,Tracey Arthurs,http://www.paparangi.school.nz,Beazley Avenue,Paparangi,Wellington,59 Beazley Avenue,Paparangi,Wellington,6037,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Ohariu,Te Tai Tonga,Paparangi West,Northern Ward,99205,Newlands Community of Learning,174.819394,-41.214564,9,252,128,58,12,46,8,0,0
2948,Paraparaumu Beach School,04 298 5775,,mbarfoote@pbs.school.nz,Jess Ward,http://ultranet.paraparaumubeach.school.nz,Gray Avenue,,Paraparaumu Beach,P O Box 1443,Paraparaumu Beach,Paraparaumu,5252,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Kapiti Coast District,Wellington Region,Wellington,Wellington,Otaki,Te Tai Hauauru,Paraparaumu Beach South,Paraparaumu Ward,99137,Kapiti North Community of Learning,174.994678,-40.890536,8,663,500,106,20,25,8,4,0
2949,Paraparaumu School,04 298 7900,04 298 7931,admin@paraparaumu.school.nz,Steven Caldwell,http://www.paraparaumu.school.nz,Ruapehu Street,,Paraparaumu,Ruapehu Street,,Paraparaumu,5032,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Kapiti Coast District,Wellington Region,Wellington,Wellington,Mana,Te Tai Hauauru,Paraparaumu Central,Paraparaumu Ward,99138,Kapiti South Community of Learning,175.008925,-40.917357,5,260,173,62,10,11,4,0,0
2950,Paremata School,04 233 1339,04 233 0135,office@paremata.school.nz,Bryce Coleman,http://www.paremata.school.nz,Paremata Crescent,Paremata,Porirua,Paremata Crescent,Paremata,Porirua,5024,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Porirua City,Wellington Region,Wellington,Wellington,Mana,Te Tai Hauauru,Paremata-Postgate,Northern Ward,,,174.86826,-41.106972,9,372,224,73,22,44,6,3,0
2953,Pauatahanui School,04 234 7659,04 234 7436,admin@pauatahanui.school.nz,Bradley Roberts,http://www.pauatahanui.school.nz,Paekakariki Hill Road,Pauatahanui,Porirua,Paekakariki Hill Road RD 1,,Porirua,5381,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Porirua City,Wellington Region,Wellington,Wellington,Mana,Te Tai Hauauru,Pauatahanui,Northern Ward,99068,North Porirua Community of Learning,174.916938,-41.104943,10,211,188,15,1,5,1,1,0
